Local time,Open,High,Low,Close,Volume
06.02.2022 23:00:00.000 GMT+0100,30.827,30.903,30.487,30.802,62.48420000000001
07.02.2022 23:00:00.000 GMT+0100,30.642,30.703,30.107,30.342,68.82230000000001
08.02.2022 23:00:00.000 GMT+0100,30.818,31.143,30.788,30.993,62.546600000000005
09.02.2022 23:00:00.000 GMT+0100,31.067,31.067,30.328,30.498,65.2968
10.02.2022 23:00:00.000 GMT+0100,30.198,30.433,29.977,30.103,70.1437
11.02.2022 23:00:00.000 GMT+0100,30.103,30.103,30.103,30.103,0
12.02.2022 23:00:00.000 GMT+0100,30.103,30.103,30.103,30.103,0
13.02.2022 23:00:00.000 GMT+0100,29.408,29.483,29.007,29.443,123.6857
14.02.2022 23:00:00.000 GMT+0100,29.587,30.193,29.557,30.108,92.77359999999999
15.02.2022 23:00:00.000 GMT+0100,30.172,30.368,29.723,29.973,64.313
16.02.2022 23:00:00.000 GMT+0100,30.007,30.103,29.527,29.597,91.8918
17.02.2022 23:00:00.000 GMT+0100,29.478,29.593,28.902,28.962,82.25999999999999
18.02.2022 23:00:00.000 GMT+0100,28.962,28.962,28.962,28.962,0
19.02.2022 23:00:00.000 GMT+0100,28.962,28.962,28.962,28.962,0
20.02.2022 23:00:00.000 GMT+0100,28.947,28.947,28.203,28.417,65.2499
21.02.2022 23:00:00.000 GMT+0100,27.688,28.578,27.677,28.302,128.25379999999998
22.02.2022 23:00:00.000 GMT+0100,28.452,28.773,28.227,28.268,101.1522
23.02.2022 23:00:00.000 GMT+0100,27.158,27.933,26.997,27.848,136.14659999999998
24.02.2022 23:00:00.000 GMT+0100,28.237,28.773,27.972,28.718,121.67880000000001
25.02.2022 23:00:00.000 GMT+0100,28.718,28.718,28.718,28.718,0
26.02.2022 23:00:00.000 GMT+0100,28.718,28.718,28.718,28.718,0
27.02.2022 23:00:00.000 GMT+0100,28.342,29.188,28.327,29.138,126.1201
28.02.2022 23:00:00.000 GMT+0100,29.033,29.043,28.298,28.752,111.78069999999987
01.03.2022 23:00:00.000 GMT+0100,28.553,29.063,28.322,28.907,121.15840000000007
02.03.2022 23:00:00.000 GMT+0100,28.998,29.098,28.322,28.377,94.33909999999997
03.03.2022 23:00:00.000 GMT+0100,28.028,28.363,27.362,27.408,141.68679999999992
04.03.2022 23:00:00.000 GMT+0100,27.408,27.408,27.408,27.408,0
05.03.2022 23:00:00.000 GMT+0100,27.408,27.408,27.408,27.408,0
06.03.2022 23:00:00.000 GMT+0100,26.733,27.598,26.348,27.022,160.90990000000002
07.03.2022 23:00:00.000 GMT+0100,26.873,27.458,26.062,26.273,159.88739999999996
08.03.2022 23:00:00.000 GMT+0100,26.913,27.848,26.742,27.773,127.99249999999992
09.03.2022 23:00:00.000 GMT+0100,27.868,27.983,27.153,27.232,143.76960000000008
10.03.2022 23:00:00.000 GMT+0100,27.143,28.177,27.003,27.683,176.4770999999998
11.03.2022 23:00:00.000 GMT+0100,27.683,27.683,27.683,27.683,0
12.03.2022 23:00:00.000 GMT+0100,27.683,27.683,27.683,27.683,0
13.03.2022 22:00:00.000 GMT+0100,27.683,27.683,27.683,27.683,0
